"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","CORN","TOTAL","NOT SPECIFIED","34,100","0.3","31,600","3.4","5,470,000","4.1","173.1","2.1"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","CORN","TOTAL","NOT SPECIFIED","59,800","0.2","58,000","2.8","10,510,000","3.3","181.2","1.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,800","0.4","88,500","3.1","16,010,000","3.8","180.9","2.3"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","CORN","TOTAL","NOT SPECIFIED","13,000","2.7","12,700","4.1","2,121,000","5.4","167","3.4"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","CORN","TOTAL","NOT SPECIFIED","52,600","0.2","49,100","2.8","8,146,000","3.8","165.9","2.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","CORN","TOTAL","NOT SPECIFIED","54,100","0.2","48,900","3.9","8,445,000","5.5","172.7","3.7"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MADISON","097","","","00000000","","CORN","TOTAL","NOT SPECIFIED","91,600","0.4","84,900","3.3","14,637,000","3.6","172.4","1.6"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MARION","101","","","00000000","","CORN","TOTAL","NOT SPECIFIED","60,200","0.2","55,200","2.9","9,787,000","3.5","177.3","2"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","CORN","TOTAL","NOT SPECIFIED","43,200","0.2","42,000","2.5","7,535,000","3.5","179.4","2.5"
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,800","0.4","88,900","3.1","15,175,000","4.1","170.7","2.7"
