"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","CENTRAL","50","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","258","","168","","48",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","EAST CENTRAL","60","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","80","","19",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","NORTH CENTRAL","20","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","155","","",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","NORTHEAST","30","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","81.5","","42",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","NORTHWEST","10","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","185","","166","","",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","182","","","","57",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","SOUTH CENTRAL","80","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","129","","27.5",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","SOUTHEAST","90","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","69.5","","17",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","SOUTHWEST","70","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","161","","41.5",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","WEST CENTRAL","40","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","195","","194","","50.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","159","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","153","","56",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","204","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","182","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","123","","50.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","116","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MADISON","097","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","190","","52",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MARION","101","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","157","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","140","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","258","","","","49",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","190","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","147","","25.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","UNION","159","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","171","","54",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","BELMONT","013","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","25.5","","12.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","CARROLL","019","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","51","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","COSHOCTON","031","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","97.5","","26",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","HARRISON","067","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","33.5","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","HOLMES","075","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","105","","",""
